Datetime;Elektriciteit;EV;PV;Heating;Cooling
2024-01-01 00:15;0,41212;2,12696;0,00000;0,00000;0,00000
2024-01-01 00:30;0,40426;2,19446;0,00000;0,00000;0,00000
2024-01-01 00:45;0,38795;2,24875;0,00000;0,00000;0,00000
2024-01-01 01:00;0,37707;2,25242;0,00000;0,00458;0,00000
2024-01-01 01:15;0,35894;2,26123;0,00000;0,00000;0,00000
2024-01-01 01:30;0,35169;2,25095;0,00000;0,00000;0,00000
2024-01-01 01:45;0,33767;2,18346;0,00000;0,00000;0,00000
2024-01-01 02:00;0,32776;2,15191;0,00000;0,00115;0,00000
2024-01-01 02:15;0,32800;2,09174;0,00000;0,00000;0,00000
2024-01-01 02:30;0,30528;2,01544;0,00000;0,00000;0,00000
2024-01-01 02:45;0,29066;1,92080;0,00000;0,00000;0,00000
2024-01-01 03:00;0,28764;1,86797;0,00000;0,00115;0,00000
2024-01-01 03:15;0,27603;1,76232;0,00000;0,00000;0,00000
2024-01-01 03:30;0,26262;1,62218;0,00000;0,00000;0,00000
2024-01-01 03:45;0,24993;1,54148;0,00000;0,00000;0,00000
2024-01-01 04:00;0,24328;1,42482;0,00000;0,00229;0,00000
2024-01-01 04:15;0,22455;1,30743;0,00000;0,00000;0,00000
2024-01-01 04:30;0,22346;1,13208;0,00000;0,00000;0,00000
2024-01-01 04:45;0,22165;0,96333;0,00000;0,00000;0,00000
2024-01-01 05:00;0,21186;0,80779;0,00000;0,00803;0,00000
2024-01-01 05:15;0,21476;0,67573;0,00000;0,00000;0,00000
2024-01-01 05:30;0,21174;0,51285;0,00000;0,00000;0,00000
2024-01-01 05:45;0,21452;0,38885;0,00000;0,00000;0,00000
2024-01-01 06:00;0,21089;0,31255;0,00000;0,06424;0,00000
2024-01-01 06:15;0,21669;0,25312;0,00000;0,00000;0,00000
2024-01-01 06:30;0,21403;0,20030;0,00000;0,00000;0,00000
2024-01-01 06:45;0,21694;0,15994;0,00000;0,00000;0,00000
2024-01-01 07:00;0,22225;0,18269;0,00000;0,10674;0,00000
2024-01-01 07:15;0,36998;0,19516;0,00000;0,00000;0,00000
2024-01-01 07:30;0,43405;0,20176;0,00000;0,00000;0,00000
2024-01-01 07:45;0,49656;0,21057;0,00000;0,00000;0,00000
2024-01-01 08:00;0,52968;0,25312;0,00000;0,08264;0,00000
2024-01-01 08:15;0,51263;0,25019;0,00000;0,00000;0,00000
2024-01-01 08:30;0,47007;0,26560;0,00000;0,00000;0,00000
2024-01-01 08:45;0,41990;0,26560;0,02210;0,00000;0,00000
2024-01-01 09:00;0,40430;0,32943;0,07183;0,09741;0,00000
2024-01-01 09:15;0,30020;0,36978;0,12219;0,00000;0,00000
2024-01-01 09:30;0,31700;0,32209;0,30885;0,00000;0,00000
2024-01-01 09:45;0,33465;0,34190;0,49536;0,00000;0,00000
2024-01-01 10:00;0,35749;0,38519;0,68165;0,06965;0,00000
2024-01-01 10:15;0,37526;0,35951;0,86784;0,00000;0,00000
2024-01-01 10:30;0,40402;0,35217;0,88586;0,00000;0,00000
2024-01-01 10:45;0,41562;0,34557;0,90480;0,00000;0,00000
2024-01-01 11:00;0,40196;0,32429;0,92442;0,06027;0,00000
2024-01-01 11:15;0,41526;0,33676;0,94458;0,00000;0,00000
2024-01-01 11:30;0,41828;0,32943;0,80959;0,00000;0,00000
2024-01-01 11:45;0,43387;0,33896;0,67580;0,00000;0,00000
2024-01-01 12:00;0,44801;0,34263;0,54282;0,05138;0,00000
2024-01-01 12:15;0,57507;0,39619;0,41039;0,00000;0,00000
2024-01-01 12:30;0,64095;0,38078;0,45509;0,00000;0,00000
2024-01-01 12:45;0,68096;0,43141;0,50014;0,00000;0,00000
2024-01-01 13:00;0,64107;0,47616;0,54565;0,04117;0,00000
2024-01-01 13:15;0,58848;0,52239;0,59184;0,00000;0,00000
2024-01-01 13:30;0,47593;0,60309;0,46606;0,00000;0,00000
2024-01-01 13:45;0,45804;0,59722;0,34045;0,00000;0,00000
2024-01-01 14:00;0,46735;0,60089;0,21498;0,03545;0,00000
2024-01-01 14:15;0,45309;0,60309;0,08965;0,00000;0,00000
2024-01-01 14:30;0,46420;0,62657;0,03117;0,00000;0,00000
2024-01-01 14:45;0,46819;0,72415;0,00000;0,00000;0,00000
2024-01-01 15:00;0,47677;0,73222;0,00000;0,02749;0,00000
2024-01-01 15:15;0,46662;0,78798;0,00000;0,00000;0,00000
2024-01-01 15:30;0,46348;0,76744;0,00000;0,00000;0,00000
2024-01-01 15:45;0,45961;0,78578;0,00000;0,00000;0,00000
2024-01-01 16:00;0,46674;0,82393;0,00000;0,03094;0,00000
2024-01-01 16:15;0,45937;0,88189;0,00000;0,00000;0,00000
2024-01-01 16:30;0,47073;0,84374;0,00000;0,00000;0,00000
2024-01-01 16:45;0,49599;0,92371;0,00000;0,00000;0,00000
2024-01-01 17:00;0,53539;1,07412;0,00000;0,05058;0,00000
2024-01-01 17:15;0,74561;0,47983;0,00000;0,00000;0,00000
2024-01-01 17:30;0,86444;0,47543;0,00000;0,00000;0,00000
2024-01-01 17:45;0,98653;0,58842;0,00000;0,00000;0,00000
2024-01-01 18:00;1,11756;0,64198;0,00000;3,13541;0,00000
2024-01-01 18:15;1,15214;0,76010;0,00000;0,00000;0,00000
2024-01-01 18:30;1,05858;0,84374;0,00000;0,00000;0,00000
2024-01-01 18:45;0,98532;0,95086;0,00000;0,00000;0,00000
2024-01-01 19:00;0,90578;1,03670;0,00000;0,45333;0,00000
2024-01-01 19:15;0,83760;1,16803;0,00000;0,00000;0,00000
2024-01-01 19:30;0,59376;1,22966;0,00000;0,00000;0,00000
2024-01-01 19:45;0,58687;1,26855;0,00000;0,00000;0,00000
2024-01-01 20:00;0,57998;1,30303;0,00000;0,43670;0,00000
2024-01-01 20:15;0,58264;1,36466;0,00000;0,00000;0,00000
2024-01-01 20:30;0,58047;1,39768;0,00000;0,00000;0,00000
2024-01-01 20:45;0,55751;1,44610;0,00000;0,00000;0,00000
2024-01-01 21:00;0,52584;1,51947;0,00000;0,41707;0,00000
2024-01-01 21:15;0,50868;1,59210;0,00000;0,00000;0,00000
2024-01-01 21:30;0,50082;1,58770;0,00000;0,00000;0,00000
2024-01-01 21:45;0,49176;1,61118;0,00000;0,00000;0,00000
2024-01-01 22:00;0,48620;1,64566;0,00000;0,39405;0,00000
2024-01-01 22:15;0,46566;1,66767;0,00000;0,00000;0,00000
2024-01-01 22:30;0,45695;1,69482;0,00000;0,00000;0,00000
2024-01-01 22:45;0,43907;1,73004;0,00000;0,00000;0,00000
2024-01-01 23:00;0,42372;1,76305;0,00000;0,02299;0,00000
2024-01-01 23:15;0,41079;1,80707;0,00000;0,00000;0,00000
2024-01-01 23:30;0,39254;1,93914;0,00000;0,00000;0,00000
2024-01-01 23:45;0,37151;2,01471;0,00000;0,00000;0,00000
2024-01-02 00:00;0,33912;2,09028;0,00000;0,00804;0,00000
2024-01-02 00:15;0,33235;2,12696;0,00000;0,00000;0,00000
2024-01-02 00:30;0,32002;2,19446;0,00000;0,00000;0,00000
2024-01-02 00:45;0,29138;2,24875;0,00000;0,00000;0,00000
2024-01-02 01:00;0,28014;2,25242;0,00000;0,00459;0,00000
2024-01-02 01:15;0,26540;2,26123;0,00000;0,00000;0,00000
2024-01-02 01:30;0,24437;2,25095;0,00000;0,00000;0,00000
2024-01-02 01:45;0,23470;2,18346;0,00000;0,00000;0,00000
2024-01-02 02:00;0,22817;2,15191;0,00000;0,00114;0,00000
2024-01-02 02:15;0,21548;2,09174;0,00000;0,00000;0,00000
2024-01-02 02:30;0,20570;2,01544;0,00000;0,00000;0,00000
2024-01-02 02:45;0,20702;1,92080;0,00000;0,00000;0,00000
2024-01-02 03:00;0,20195;1,86797;0,00000;0,00114;0,00000
2024-01-02 03:15;0,20582;1,76232;0,00000;0,00000;0,00000
2024-01-02 03:30;0,20570;1,62218;0,00000;0,00000;0,00000
2024-01-02 03:45;0,20400;1,54148;0,00000;0,00000;0,00000
2024-01-02 04:00;0,19772;1,42482;0,00000;0,00227;0,00000
2024-01-02 04:15;0,20388;1,30743;0,00000;0,00000;0,00000
2024-01-02 04:30;0,20219;1,13208;0,00000;0,00000;0,00000
2024-01-02 04:45;0,19699;0,96333;0,00000;0,00000;0,00000
